combo_label,odd1,odd2,combo_odds,legs_summary,,Combination: Match Result (odd1) - Over/Under Corners (odd2)
2-Under 9.5,2.92,1.98,6,Match Result: Λόντον Σίτι Λαϊονέσες (Γ) @ 2.9200  |  Over/Under Corners: Under 9.5 @ 1.9800,,
X-Over 9.5,3.3,1.78,5.9,Match Result: Ισοπαλία @ 3.3000  |  Over/Under Corners: Over 9.5 @ 1.7800,,
X-Under 9.5,3.3,1.98,6.2,Match Result: Ισοπαλία @ 3.3000  |  Over/Under Corners: Under 9.5 @ 1.9800,,
1-Over 9.5,1.21,1.7,2.1,Match Result: Μάντσεστερ Σίτι (Γ) @ 1.2100  |  Over/Under Corners: Over 9.5 @ 1.7000,,
1-Under 9.5,1.21,2.07,2.42,Match Result: Μάντσεστερ Σίτι (Γ) @ 1.2100  |  Over/Under Corners: Under 9.5 @ 2.0700,,
2-Over 9.5,9.75,1.7,14,Match Result: Λίβερπουλ (Γ) @ 9.7500  |  Over/Under Corners: Over 9.5 @ 1.7000,,
2-Under 9.5,9.75,2.07,23,Match Result: Λίβερπουλ (Γ) @ 9.7500  |  Over/Under Corners: Under 9.5 @ 2.0700,,
X-Over 9.5,5.5,1.7,8.75,Match Result: Ισοπαλία @ 5.5000  |  Over/Under Corners: Over 9.5 @ 1.7000,,
X-Under 9.5,5.5,2.07,12.5,Match Result: Ισοπαλία @ 5.5000  |  Over/Under Corners: Under 9.5 @ 2.0700,,
1-Over 9.5,1.85,1.87,3.55,Match Result: Άστον Βίλα (Γ) @ 1.8500  |  Over/Under Corners: Over 9.5 @ 1.8700,,
1-Under 9.5,1.85,1.87,3.35,Match Result: Άστον Βίλα (Γ) @ 1.8500  |  Over/Under Corners: Under 9.5 @ 1.8700,,
2-Over 9.5,3.35,1.87,6.1,Match Result: Γουέστ Χαμ (Γ) @ 3.3500  |  Over/Under Corners: Over 9.5 @ 1.8700,,
2-Under 9.5,3.35,1.87,6.7,Match Result: Γουέστ Χαμ (Γ) @ 3.3500  |  Over/Under Corners: Under 9.5 @ 1.8700,,
X-Over 9.5,3.65,1.87,6.5,Match Result: Ισοπαλία @ 3.6500  |  Over/Under Corners: Over 9.5 @ 1.8700,,
X-Under 9.5,3.65,1.87,6.9,Match Result: Ισοπαλία @ 3.6500  |  Over/Under Corners: Under 9.5 @ 1.8700,,
1-Over 9.5,1.42,1.67,2.4,Match Result: Λιντς @ 1.4200  |  Over/Under Corners: Over 9.5 @ 1.6700,,
1-Under 9.5,1.42,2.12,2.87,Match Result: Λιντς @ 1.4200  |  Over/Under Corners: Under 9.5 @ 2.1200,,
2-Over 9.5,7.2,1.67,10.25,Match Result: Μπέρνλι @ 7.2000  |  Over/Under Corners: Over 9.5 @ 1.6700,,
2-Under 9.5,7.2,2.12,15.5,Match Result: Μπέρνλι @ 7.2000  |  Over/Under Corners: Under 9.5 @ 2.1200,,
X-Over 9.5,4.85,1.67,7.8,Match Result: Ισοπαλία @ 4.8500  |  Over/Under Corners: Over 9.5 @ 1.6700,,
X-Under 9.5,4.85,2.12,10.5,Match Result: Ισοπαλία @ 4.8500  |  Over/Under Corners: Under 9.5 @ 2.1200,,
1-Over 10.5,1.98,1.93,3.8,Match Result: Μπρέντφορντ @ 1.9800  |  Over/Under Corners: Over 10.5 @ 1.9300,,
1-Under 10.5,1.98,1.8,3.25,Match Result: Μπρέντφορντ @ 1.9800  |  Over/Under Corners: Under 10.5 @ 1.8000,,
2-Over 10.5,3.55,1.93,6,Match Result: Γουέστ Χαμ @ 3.5500  |  Over/Under Corners: Over 10.5 @ 1.9300,,
2-Under 10.5,3.55,1.8,6.4,Match Result: Γουέστ Χαμ @ 3.5500  |  Over/Under Corners: Under 10.5 @ 1.8000,,
X-Over 10.5,3.85,1.93,7,Match Result: Ισοπαλία @ 3.8500  |  Over/Under Corners: Over 10.5 @ 1.9300,,
X-Under 10.5,3.85,1.8,6.9,Match Result: Ισοπαλία @ 3.8500  |  Over/Under Corners: Under 10.5 @ 1.8000,,
1-Over 10.5,2.55,1.95,4.75,Match Result: Νιούκαστλ @ 2.5500  |  Over/Under Corners: Over 10.5 @ 1.9500,,
1-Under 10.5,2.55,1.78,4.15,Match Result: Νιούκαστλ @ 2.5500  |  Over/Under Corners: Under 10.5 @ 1.7800,,
2-Over 10.5,2.67,1.95,4.65,Match Result: Μπράιτον @ 2.6700  |  Over/Under Corners: Over 10.5 @ 1.9500,,
2-Under 10.5,2.67,1.78,4.8,Match Result: Μπράιτον @ 2.6700  |  Over/Under Corners: Under 10.5 @ 1.7800,,
X-Over 10.5,3.55,1.95,7.1,Match Result: Ισοπαλία @ 3.5500  |  Over/Under Corners: Over 10.5 @ 1.9500,,
X-Under 10.5,3.55,1.78,6.1,Match Result: Ισοπαλία @ 3.5500  |  Over/Under Corners: Under 10.5 @ 1.7800,,
1-Over 9.5,3.1,1.95,5.6,Match Result: Γουλβς @ 3.1000  |  Over/Under Corners: Over 9.5 @ 1.9500,,
1-Under 9.5,3.1,1.78,5.3,Match Result: Γουλβς @ 3.1000  |  Over/Under Corners: Under 9.5 @ 1.7800,,
2-Over 9.5,2.32,1.95,4.45,Match Result: Σάντερλαντ @ 2.3200  |  Over/Under Corners: Over 9.5 @ 1.9500,,
2-Under 9.5,2.32,1.78,4.1,Match Result: Σάντερλαντ @ 2.3200  |  Over/Under Corners: Under 9.5 @ 1.7800,,
X-Over 9.5,3.35,1.95,6.4,Match Result: Ισοπαλία @ 3.3500  |  Over/Under Corners: Over 9.5 @ 1.9500,,
X-Under 9.5,3.35,1.78,5.8,Match Result: Ισοπαλία @ 3.3500  |  Over/Under Corners: Under 9.5 @ 1.7800,,
1-Over 10.5,1.67,2.07,3.35,Match Result: Μπόρνμουθ @ 1.6700  |  Over/Under Corners: Over 10.5 @ 2.0700,,
1-Under 10.5,1.67,1.7,2.72,Match Result: Μπόρνμουθ @ 1.6700  |  Over/Under Corners: Under 10.5 @ 1.7000,,
2-Over 10.5,4.8,2.07,8.75,Match Result: Κρίσταλ Πάλας @ 4.8000  |  Over/Under Corners: Over 10.5 @ 2.0700,,
2-Under 10.5,4.8,1.7,7.8,Match Result: Κρίσταλ Πάλας @ 4.8000  |  Over/Under Corners: Under 10.5 @ 1.7000,,
X-Over 10.5,4.15,2.07,8.25,Match Result: Ισοπαλία @ 4.1500  |  Over/Under Corners: Over 10.5 @ 2.0700,,
X-Under 10.5,4.15,1.7,7.2,Match Result: Ισοπαλία @ 4.1500  |  Over/Under Corners: Under 10.5 @ 1.7000,,
1-Over 10.5,2.18,1.93,4.1,Match Result: Άστον Βίλα @ 2.1800  |  Over/Under Corners: Over 10.5 @ 1.9300,,
1-Under 10.5,2.18,1.82,3.65,Match Result: Άστον Βίλα @ 2.1800  |  Over/Under Corners: Under 10.5 @ 1.8200,,
2-Over 10.5,3.15,1.93,5.5,Match Result: Τότεναμ @ 3.1500  |  Over/Under Corners: Over 10.5 @ 1.9300,,
